Sample,Temp,Tank,Treatment,Week,MC,R,Pnet,Pgross,PRDAILY,cells,Necrosis,AvgT,Mortality
CC2.3,29,C2,Ctrl,3,C,0.036264089,0.146207597,0.182471686,2.515873017,3599.933237,0,2.263157895,0
CC2.4,29,C2,Ctrl,4,C,0.204104008,0.117407365,0.321511373,0.78761651,2535.556691,0,1.526315789,0
CE1.1,30,E1,Exp,1,C,0.040444669,0.332011888,0.372456557,4.604519782,2285.417027,0,1.368421053,0
CE1.2,31,E1,Exp,2,C,0.011346592,0.092919392,0.104265984,4.594594747,1570.607991,0,1.210526316,0
CE1.3,32A,E1,Exp,3,C,0.035029344,0.089046556,0.1240759,1.771028027,1287.661352,0,0.657894737,0
CE1.4,32B,E1,Exp,4,C,0.036838905,0.153904758,0.190743663,2.58888888,1167.509852,0,0,0
CE2.1,30,E2,Exp,1,C,0.135665007,0.147424553,0.28308956,1.04334038,2962.05033,0,1.473684211,0
CE2.2,31,E2,Exp,2,C,0.1157961,0.13770347,0.25349957,1.094594593,1503.130018,0,1.263157895,0
CE2.3,32A,E2,Exp,3,C,0.055709798,0.156356781,0.212066579,1.903314916,1330.583397,0,1.184210526,0
CE2.4,32B,E2,Exp,4,C,0.070591431,0.077209378,0.147800809,1.046875002,1190.261327,0,0.736842105,0
DC1.1,29,C1,Ctrl,1,D,0.150408631,0.197111948,0.347520579,1.155254777,3292.432468,0,2.921052632,0
DC1.2,29,C1,Ctrl,2,D,0.290304835,0.28696031,0.577265145,0.994239633,3870.84986,0,2.763157895,0
DC1.3,29,C1,Ctrl,3,D,0.139901588,0.209290979,0.349192567,1.247993579,3252.638019,0,2.605263158,0
DC1.4,29,C1,Ctrl,4,D,0.093887348,0.165592521,0.259479869,1.381868135,968.6396349,0,2.394736842,0
DC2.1,29,C2,Ctrl,1,D,0.035563416,0.167850261,0.203413677,2.859872586,5060.847971,0,2.315789474,0
DC2.2,29,C2,Ctrl,2,D,0.092857399,0.055865427,0.148722826,0.800813008,2154.167223,0,2.289473684,0
DC2.3,29,C2,Ctrl,3,D,0.063823331,0.3287086,0.392531931,3.075144503,5502.260674,0,2.157894737,0
DC2.4,29,C2,Ctrl,4,D,0.132338992,0.335025189,0.467364181,1.76578412,2621.738404,0,2.210526316,0
DE1.1,30,E1,Exp,1,D,0.278908124,0.102782494,0.381690618,0.684258695,1812.502063,0,1.578947368,0
DE1.2,31,E1,Exp,2,D,0.162161693,0.156531079,0.318692772,0.98263889,2565.612471,0,1.078947368,0
DE1.3,32A,E1,Exp,3,D,0.083919992,0.102925402,0.186845394,1.113235294,1710.21759,0,0.921052632,0
DE1.4,32B,E1,Exp,4,D,0.038502391,0.132847943,0.171350334,2.22519082,174.511999,0,0.631578947,0
DE2.1,30,E2,Exp,1,D,0.101325708,0.147115366,0.248441074,1.225952815,3232.834782,0,1.315789474,0
DE2.2,31,E2,Exp,2,D,0.13026998,0.05973845,0.19000843,0.729287093,4465.180348,0,0.947368421,0
DE2.3,32A,E2,Exp,3,D,0.023581286,0.300156078,0.323737364,6.864285603,996.8855368,0,0.894736842,0
